Title,Production_Budget,Worldwide_Gross,Release_Year,CPI,Duration,MPAA_Rating,IMDb_Rating,Voter_Numbers,Genre
By the Sea,20000000,3727746,2015,237,2h 17m,R,7.8,284K,Drama
Machine Gun Preacher,30000000,3721988,2011,224.9,2h 9m,R,6.7,67K,Action
BloodRayne,25000000,3711633,2006,201.6,1h 35m,R,2.9,36K,Action
Thirteen Conversations About One Thing,3000000,3705923,2002,179.9,1h 44m,R,7,11K,Drama
Bathing Beauty,2361000,3500000,1944,17.6,1h 41m,G,6.4,1.7K,Comedy
Thoroughbreds,5000000,3474221,2018,251.1,1h 32m,R,6.6,44K,Comedy
Riding Giants,2600000,3292333,2004,188.9,1h 45m,PG-13,7.8,4.5K,Documentary
Tadpole,150000,3270128,2002,179.9,1h 18m,PG-13,6.2,6.1K,Comedy
Rosewater,10000000,3185717,2014,236.7,1h 43m,R,6.6,11K,Biography
The East,6500000,3027956,2013,233,2h 17m,PG-13,6.9,51K,Drama
Metropolitan,430000,2938000,1990,130.7,1h 38m,PG-13,7.3,12K,Comedy
Cradle Will Rock,32000000,2899970,1999,166.6,2h 12m,R,6.8,9.3K,Drama
The White Countess,16000000,2814566,2005,195.3,2h 15m,PG-13,6.5,6.8K,Drama
Bronson,230000,2703762,2009,214.5,1h 32m,R,7,133K,Action
Bobby Jones: Stroke of Genius,17000000,2694071,2004,188.9,2h,PG,6.6,4K,Biography
No Man's Land,1000000,2684207,2001,177.1,1h 46m,R,6.1,5K,Crime
Hillsong: Let Hope Rise,10000000,2678525,2016,240,1h 43m,PG,6.1,891,Documentary
Limbo,8300000,2598224,1999,166.6,,,,,Drama
LBJ,20000000,2507181,2017,245.1,1h 38m,R,6.5,7K,Biography
After.Life,4500000,2481925,2010,218.1,1h 44m,R,5.9,39K,Drama
And When Did You Last See Your Father?,8000000,2476491,2008,215.3,1h 32m,PG-13,6.8,4.5K,Biography
What Just Happened,27000000,2412123,2008,215.3,1h 44m,R,5.6,28K,Comedy
The Informer,60000000,2366073,2019,255.7,1h 53m,R,6.6,38K,Action
Extinction,20000000,2360000,2018,251.1,1h 35m,R,5.8,54K,Action
American Heist,10000000,2341218,2015,237,1h 34m,R,5,17K,Action
Repo Man,1500000,2300000,1984,103.9,1h 32m,R,6.9,38K,Action
Sweet Country,4000000,2291545,2017,245.1,1h 53m,R,6.9,8.7K,Adventure
Clay Pigeons,8000000,2256606,1998,163,1h 44m,R,6.6,12K,Comedy
DysFunkTional Family,3000000,2255000,2003,184,1h 29m,R,6.5,888,Comedy
My All-American,20000000,2246000,2015,237,1h 58m,PG,7.1,6.8K,Biography
George Balanchine\'s The Nutcracker,19000000,2119994,2011,224.9,1h 32m,G,5.8,2.2K,Family
Mallrats,6100000,2108367,1995,152.4,1h 34m,R,7,124K,Comedy
Slow West,3750000,2089072,2015,237,1h 24m,R,6.9,46K,Action
Strangers with Candy,2000000,2077844,2006,201.6,,PG-13,8.1,6.2K,Comedy
Greater,9000000,2000093,2016,240,2h 10m,PG,7.3,6.4K,Biography
Thumbsucker,4000000,1919197,2005,195.3,1h 36m,R,6.5,22K,Comedy
Profile,2300000,1838205,2021,271,1h 46m,R,6.7,4.9K,Mystery
Tu Xia Chuan Qi,12000000,1828400,2012,229.6,1h 29m,PG,3.2,644,Animation
Session 9,1500000,1703434,2001,177.1,1h 37m,R,6.4,60K,Drama
Survivor,20000000,1703281,2015,237,,PG,7.5,25K,Adventure
"Men, Women and Children",16000000,1685403,2014,236.7,1h 59m,R,6.6,33K,Comedy
Bacheha-Ye aseman,180000,1628579,1999,166.6,1h 29m,PG,8.2,75K,Drama
Carlos,18000000,1619153,2010,218.1,,,,,
Walking and Talking,1000000,1615787,1996,156.9,1h 26m,R,6.7,3.7K,Comedy
The Blue Butterfly,10400000,1610194,2004,188.9,1h 37m,PG,6.2,1.6K,Adventure
Dogtown and Z-Boys,400000,1600566,2002,179.9,1h 31m,PG-13,7.6,13K,Documentary
Stan Helsing: A Parody,365000,1553556,2009,214.5,1h 48m,R,3.5,14K,Comedy
The Statement,27000000,1545064,2003,184,2h,R,6.2,5.3K,Thriller
The Lords of Salem,1500000,1541131,2013,233,1h 41m,R,5.2,31K,Horror
Patti Cake$,1000000,1471090,2017,245.1,1h 49m,R,6.8,10K,Drama
American Desi,250000,1366235,2001,177.1,1h 40m,Not Rated,6.6,1.6K,Comedy
Julia,6000000,1365108,2009,214.5,,,,,
Mean Creek,500000,1348750,2004,188.9,1h 30m,R,,32K,Crime
The Tax Collector,30000000,1309971,2020,258.8,1h 35m,Not Rated,4.8,14K,Action
Twixt,7000000,1270342,2012,229.6,1h 28m,R,4.7,11K,Comedy
Outlander,50000000,1250617,2009,214.5,,R,8.4,161K,Drama
Me and Orson Welles,25000000,1190003,2009,214.5,1h 54m,PG-13,6.7,11K,Comedy
Trois,200000,1161843,2000,172.2,,,,,Action
Get Real,2000000,1152411,1999,166.6,,PG-13,7.4,595,Comedy
Excessive Force,13000000,1152117,1993,144.5,1h 27m,R,5.3,1.4K,Action
The Son of No One,15000000,1148578,2011,224.9,1h 30m,R,5.1,17K,Action
Owning Mahowny,10000000,1147871,2003,184,1h 44m,R,7,14K,Crime
L.I.E.,700000,1140965,2001,177.1,1h 33m,Not Rated,5.2,16K,Drama
Wonderland,5500000,1128468,2003,184,1h 44m,PG,6.5,417K,Crime
The Ballad of Jack and Rose,1500000,1126258,2005,195.3,1h 52m,R,6.5,12K,Drama
Columbus,700000,1110511,2017,245.1,,,,,
Slam,1000000,1087521,1998,163,,PG,8.7,5.9K,Animation
Undiscovered,9000000,1069318,2005,195.3,1h 50m,PG,7.2,77K,Action
September Dawn,10100000,1066555,2007,207.3,1h 51m,R,5.8,3K,Drama
The Ten Commandments,10000000,1051907,2007,207.3,3h 40m,G,7.9,72K,Adventure
A Home at the End of the World,6500000,1038228,2004,188.9,1h 37m,R,6.6,14K,Drama
Maggie,4500000,1027760,2015,237,,,,,
Duma,12000000,994790,2005,195.3,1h 40m,PG,7.2,8.3K,Adventure
American Teen,5000000,989319,2008,215.3,,PG-13,4.9,20K,Comedy
Polina danser sa vie,4000000,953314,2016,240,,,,,Drama
The Brothers Solomon,10000000,900926,2007,207.3,1h 33m,R,5.3,11K,Comedy
Mata Hari,558000,900000,1931,15.2,1h 48m,R,3.9,1K,Drama
All Good Things,20000000,873617,2010,218.1,1h 41m,R,6.3,57K,Crime
Freedom,14500000,872757,2014,236.7,2h 3m,PG-13,7.6,80K,Biography
Cut Throat City,8000000,864907,2020,258.8,2h 3m,R,4.9,2.8K,Action
Alone with Her,1000000,844377,2007,207.3,1h 18m,Not Rated,6,4.1K,Crime
Higher Ground,1800000,842693,2011,224.9,,PG,8.2,1.5K,Drama
Molière,21600000,791154,2007,207.3,2h,PG-13,7.1,6.4K,Biography
Middle Men,20000000,754301,2010,218.1,1h 45m,R,6.8,38K,Comedy
Dragon Nest Warriors' Dawn,40000000,734423,2015,237,1h 28m,Not Rated,6.3,3.3K,Animation
Bodom,1250000,726460,2016,240,1h 25m,Not Rated,5.2,4.2K,Horror
Gerry,7000000,719699,2003,184,,,,,
Our Friend,10000000,714255,2021,271,2h 4m,R,7.3,13K,Drama
Feast,3200000,690872,2006,201.6,1h 35m,R,6.2,32K,Action
Bilal: A New Breed of Hero,30000000,648599,2017,245.1,1h 45m,PG-13,7.7,23K,Animation
Journey from the Fall,1300000,635305,2007,207.3,2h 15m,R,7.2,916,Drama
Ride With the Devil,35000000,630779,1999,166.6,2h 18m,R,6.7,14K,Drama
Dofus - Livre 1: Julith,8800000,624747,2016,240,,,,,Animation
Another Day of Life,9000000,587754,2018,251.1,,,,,Animation
Plastic,10000000,575371,2014,236.7,,,,,
The Lost Medallion: The Adventures of Billy Stone,2500000,549632,2013,233,1h 37m,PG,4.8,1.8K,Adventure
Eddie and the Cruisers II,5000000,540000,1989,124,1h 44m,PG-13,6.1,3.1K,Drama
The Reluctant Fundamentalist,15000000,528731,2013,233,2h 10m,R,6.8,14K,Drama
The Other End of the Line,2500000,507446,2008,215.3,1h 46m,PG-13,6.1,6.1K,Comedy
Idiocracy,2400000,500296,2006,201.6,1h 24m,R,6.5,165K,Adventure
Before We Go,3000000,483938,2015,237,1h 35m,PG-13,6.8,59K,Comedy
The Last Shot,40000000,463730,2004,188.9,1h 33m,R,5.7,4.3K,Comedy
Gunless,9900000,458054,2010,218.1,,,,,Action
Fido,8000000,456814,2007,207.3,1h 33m,R,6.7,29K,Comedy
Song One,6000000,437089,2015,237,1h 26m,PG-13,5.8,10K,Drama
Flower,500000,390803,2018,251.1,,,,,Crime
The Last Sin Eater,2200000,388390,2007,207.3,1h 57m,PG-13,5.6,1.9K,Drama
Criminal Activities,7000000,386744,2015,237,1h 34m,Not Rated,5.8,9K,Crime
Triple Threat,10000000,385651,2019,255.7,1h 36m,,5.6,,Action
The Quiet,900000,381420,2006,201.6,2h 28m,R,7.8,87K,Action
Joe,4000000,373375,2014,236.7,,,,,
Hurricane Streets,500000,367582,1998,163,1h 26m,R,6.3,1.3K,Crime
Due occhi diabolici,9000000,349618,1991,136.2,2h,R,6.1,7.3K,Horror
Malevolence,200000,346106,2004,188.9,1h 30m,R,5,3.5K,Crime
Lucy in the Sky,27000000,325943,2019,255.7,2h 4m,R,4.9,8.1K,Drama
The Informers,18000000,315000,2009,214.5,1h 38m,R,4.9,17K,Crime
I Am Wrath,18000000,309608,2016,240,1h 32m,R,5.4,15K,Action
Chairman of the Board,7000000,306715,1998,163,1h 35m,PG-13,2.3,6.3K,Comedy
Shooting Fish,4000000,302204,1998,163,1h 43m,PG,6.6,7.7K,Comedy
Imaginary Heroes,10000000,290875,2004,188.9,1h 51m,R,7.1,9.7K,Comedy
O Menino e o Mundo,500000,280967,2014,236.7,,,,,
Smiling Fish and Goat on Fire,40000,277233,2000,172.2,1h 30m,R,7.7,2.7K,Comedy
Civil Brand,500000,254293,2003,184,1h 35m,R,5.1,765,Drama
Sex with Strangers,1100000,247740,2002,179.9,,,,,Documentary
Steal,15000000,240025,2003,184,1h 23m,R,5.4,5.9K,Action
Love Liza,1000000,213137,2002,179.9,1h 30m,R,6.9,8.2K,Comedy
Def-Con 4,1300000,210904,1985,107.6,1h 28m,R,4.5,2.1K,Action
Cama adentro,800000,200433,2007,207.3,1h 23m,Not Rated,7,965,Drama
Fateless,12000000,196857,2006,201.6,2h 20m,R,7,6.9K,Drama
The Big Tease,4000000,185577,2000,172.2,1h 26m,R,6.2,2.6K,Comedy
Go For It!,2450000,182358,2011,224.9,1h 47m,PG,7.1,10K,Action
Love Ranch,25000000,146149,2010,218.1,1h 57m,R,5.6,3.2K,Biography
The Eclipse,3000000,133411,2010,218.1,2h 4m,PG-13,5,248K,Action
Tycoon,5000000,121016,2003,184,,R,7.6,5.3K,Drama
Gentlemen Broncos,9500000,119955,2009,214.5,1h 30m,PG-13,6.1,12K,Adventure
Winter Passing,3500000,113783,2006,201.6,1h 38m,R,6.2,8.6K,Comedy
Closet Monster,1850000,99748,2016,240,1h 30m,Not Rated,7,8.7K,Drama
Midnight in the Switchgrass,15000000,97518,2021,271,1h 39m,R,4.5,8.1K,Action
Wolves,18000000,94953,2014,236.7,1h 31m,R,5.3,9.8K,Action
Home Movies,400000,89134,1980,82.4,,PG-13,8.2,10K,Animation
They Came Together,3000000,82780,2014,236.7,1h 23m,R,5.6,23K,Comedy
Silent Trigger,15000000,76382,1996,156.9,1h 33m,R,5.4,4.2K,Action
The Midnight Sky,100000000,75615,2020,258.8,1h 58m,PG-13,5.6,84K,Adventure
Freaks of Nature,33000000,70958,2015,237,1h 32m,R,5.9,13K,Comedy
Stuck,5000000,67505,2008,215.3,,G,6.2,2.3K,Comedy
Nothing,4000000,63180,,,1h 34m,PG-13,5,25K,Comedy
Winnie Mandela,15000000,61847,2013,233,1h 44m,R,6.1,848,Biography
The Perfect Host,1000000,51587,2011,224.9,1h 33m,R,6.7,27K,Comedy
The Eyes of My Mother,300000,48539,2016,240,1h 16m,R,6.2,13K,Drama
Interview with the Assassin,750000,47329,2002,179.9,,R,7,12K,Drama
Defendor,3750000,44462,2010,218.1,1h 41m,R,6.8,37K,Comedy
Swelter,8000000,44197,2014,236.7,1h 36m,R,4.5,3.2K,Action
Water & Power,600000,42557,2014,236.7,1h 28m,Not Rated,4.5,138,Crime
Down for Life,3800000,41914,2011,224.9,1h 32m,R,7,332,Drama
The Velocity of Gary,4000000,34145,1999,166.6,1h 40m,R,4.8,1.8K,Comedy
Lumea e a mea,168000,29678,2015,237,,,,,Drama
Hevi reissu,3800000,21976,2018,251.1,,,,,Comedy
The Sticky Fingers of Time,250000,20628,1999,166.6,,PG-13,7.1,105K,Action
Karachi se Lahore,1000000,17721,2015,237,,,,,Adventure
Speedway Junky,1000000,17127,2001,177.1,1h 45m,R,5.9,1.8K,Crime
The Work and the Story,103000,16137,2003,184,,PG,6.9,859,Animation
My Dinner with Andre,475000,15063,1981,90.9,1h 50m,PG,7.7,22K,Comedy
The Specials,1000000,12996,2000,172.2,,,,,Comedy
Gory Gory Hallelujah,425000,12604,2005,195.3,1h 36m,Not Rated,4,306,Comedy
Hross i oss,10000000,11894,2015,237,1h 21m,Not Rated,6.8,3.4K,Comedy
Anatomie,2500000,9598,2000,172.2,1h 43m,R,6,14K,Horror
My Beautiful Laundrette,400000,9442,1986,109.6,1h 37m,R,6.8,16K,Comedy
Blood Feast,1200000,8708,2018,251.1,1h 7m,Not Rated,5,6.9K,Horror
Pink Narcissus,27000,8231,1999,166.6,1h 5m,Not Rated,6.6,1.5K,Drama
Little Big Top,240000,7484,2008,215.3,1h 23m,Not Rated,6,166,Comedy
The Case of the Grinning Cat,200000,7033,2006,201.6,2h 46m,PG-13,7.8,653K,Drama
The Sisterhood of Night,1000000,6870,2015,237,1h 44m,PG-13,6.1,2.2K,Drama
Solitude,200000,6260,2005,195.3,,,,,Comedy
Grand Isle,5000000,5444,2019,255.7,,,,,Thriller
Closer to the Moon,1500000,5396,2014,236.7,1h 52m,Not Rated,6.8,4.2K,Comedy
Tanner Hall,3000000,5073,2011,224.9,1h 36m,R,5.7,3.8K,Drama
"Peace, Propaganda and the Promised Land",70000,4930,2005,195.3,1h 20m,,8.2,557,Documentary
Supporting Characters,60000,4917,2013,233,1h 27m,Not Rated,6.3,972,Comedy
La navaja de Don Juan,1200000,4254,2015,237,1h 39m,Not Rated,7.3,44,Comedy
The Harvest/La Cosecha,560000,3709,2011,224.9,,,,,Documentary
Carousel,3380000,3604,1956,27.2,2h 8m,PG,6.6,6.4K,Drama
Veronika Decides to Die,9000000,2243,2012,229.6,1h 43m,R,6.3,13K,Drama
B-Girl,700000,1160,2010,218.1,1h 28m,PG-13,3.9,701,Drama
Higher Power,500000,528,2018,251.1,1h 33m,R,4.7,4.2K,Action
12 Angry Men,340000,379,1957,28.1,1h 36m,PG,9,790K,Crime
Food Chains,913000,176,2014,236.7,1h 23m,Not Rated,7.1,380,Documentary
The King’s Thief,1577000,0,1955,26.8,1h 18m,Not Rated,5.8,638,Adventure
Nine Dead,2000000,0,,,1h 38m,R,5.4,14K,Crime
The Curse of Downers Grove,2000000,0,2015,237,1h 29m,Not Rated,4.4,2K,Drama
Stagecoach: The Texas Jack Story,2000000,0,2016,240,1h 30m,Not Rated,4.4,871,Western
Lucky Dog,2000000,0,2015,237,,G,8.6,259,Documentary
A Funny Thing Happened on the Way to the Forum,2000000,0,1966,32.5,1h 39m,PG,6.8,9.4K,Comedy
Wings,2000000,0,1927,17.4,,,,,
Alien Uprising,2500000,0,2013,233,1h 41m,R,3,3.6K,Comedy
Chicago Overcoat,3000000,0,,,1h 34m,R,5.9,1.2K,Action
Barry Munday,3000000,0,2010,218.1,1h 35m,R,5.8,4.4K,Comedy
The Deported,3000000,0,,,1h 30m,PG-13,4.5,140,Comedy
The Taking of Pelham One Two Three,3800000,0,1974,49.3,1h 44m,R,7.6,32K,Action
The Helpers,4000000,0,,,1h 21m,R,4.1,2.2K,Horror
The Perfect Wave,4000000,0,2014,236.7,1h 34m,PG,4.5,1.2K,Adventure
Hansel & Gretel Get Baked,4500000,0,2013,233,1h 26m,R,4.3,3.7K,Comedy
Zipper,4500000,0,2015,237,1h 52m,R,5.8,7.7K,Drama
Daisy Winters,4500000,0,2017,245.1,1h 30m,PG-13,6.5,331,Drama
Reach Me,5000000,0,2014,236.7,1h 35m,PG-13,4.9,3K,Comedy
Let's Kill Ward's Wife,5000000,0,2015,237,1h 22m,Not Rated,5.4,6K,Comedy
A Shine of Rainbows,6000000,0,2011,224.9,1h 41m,PG,7.1,2.3K,Drama
Green Street Hooligans: Underground,8000000,0,2015,237,1h 49m,R,7.4,152K,Crime
Maurice Richard,8000000,0,2007,207.3,2h 4m,PG,7.6,5.3K,Biography
Teen Beach Movie,8000000,0,2013,233,,Not Rated,5.9,12K,Comedy
A Haunting in Connecticut 2: The Ghosts of Georgia,9000000,0,2013,233,1h 40m,R,5.3,18K,Drama
Irreplaceable You,10000000,0,2018,251.1,1h 36m,R,6.4,9.8K,Comedy
Stephen King's It,12000000,0,2002,179.9,,PG-13,6.8,,Drama
Bird Box,19800000,0,2018,251.1,2h 4m,R,6.6,344K,Horror
The Face of an Angel,26000000,0,2015,237,1h 41m,Not Rated,4.6,5K,Crime
The Ridiculous 6,60000000,0,2015,237,1h 59m,PG-13,4.8,50K,Action
b,70000000,0,,,,,,,
Triple Frontier,115000000,0,2019,255.7,2h 5m,R,6.4,130K,Action
Army of the Dead,90000000,0,2021,271,2h 28m,R,5.7,174K,Action
Step Sisters,10000000,0,2018,251.1,1h 48m,PG-13,5.4,4.6K,Comedy
Replicas,4000000,0,2012,229.6,1h 47m,PG-13,5.4,39K,Drama
Mugge & vejfesten,3851257,0,,,,,,,Animation
Point Blank,3000000,0,1967,33.4,1h 32m,Not Rated,7.3,22K,Crime
Not Safe For Work,2500000,0,2020,258.8,1h 14m,Not Rated,5.8,4.6K,Thriller
The Legend of Hell’s Gate: An American Conspira…,2000000,0,2012,229.6,1h 48m,PG-13,4.1,787,Action
Donkeyhead,2000000,0,2022,294.4,,,,,Drama
Kurmanjan datka,1400000,0,,,2h 15m,PG-13,6.4,3.5K,Action
My Girlfriend's Boyfriend,1400000,0,2010,218.1,1h 43m,PG,7.5,5.2K,Comedy
Da Sweet Blood of Jesus,1250000,0,2015,237,2h 3m,Not Rated,4.4,1.8K,Comedy
Strange Frame,1200000,0,2013,233,1h 38m,Not Rated,7.6,1.8K,Animation
Faith Like Potatoes,1100000,0,2009,214.5,1h 56m,PG,6.7,3.4K,Drama
Alien Psychosis,1000000,0,2018,251.1,,R,2.4,139,Horror
Fear Clinic,1000000,0,2015,237,1h 35m,R,4.7,6.3K,Horror
Jimmy and Judy,1000000,0,2006,201.6,1h 39m,R,5.9,1.6K,Crime
Snow White: A Deadly Summer,1000000,0,2012,229.6,1h 23m,PG-13,2.2,769,Horror
Spare Parts,1000000,0,2021,271,1h 54m,PG-13,7.2,11K,Biography
Hidden Away,1000000,0,2014,236.7,1h 36m,Not Rated,7,2.7K,Drama
Truth or Die,1000000,0,2012,229.6,1h 36m,Not Rated,5.6,9.6K,Horror
The Horror Network,1000000,0,2015,237,1h 37m,Not Rated,4.3,415,Horror
Snitch,850000,0,,,1h 52m,PG-13,6.4,89K,Action
Iraq for Sale: The War Profiteers,775000,0,2006,201.6,1h 15m,Not Rated,7.6,1.6K,Documentary
Bled,750000,0,2009,214.5,1h 35m,R,2.9,971,Horror
Light from the Darkroom,600000,0,,,1h 30m,PG-13,6.8,15,Action
Brooklyn Bizarre,500000,0,2015,237,1h 38m,Not Rated,4.6,1.2K,Drama
Insomnia Manica,500000,0,,,,,,,Thriller
Mutual Friends,450000,0,2014,236.7,1h 26m,Not Rated,6.6,109,Comedy
Dunk or Die,350000,0,2022,294.4,,,,,Documentary
Some Guy Who Kills People,300000,0,2012,229.6,1h 37m,R,6.3,5.9K,Comedy
Anderson's Cross,300000,0,,,1h 38m,R,5.8,158,Comedy
Amidst the Devil's Wings,300000,0,2015,237,1h 30m,Not Rated,,46,Action
Teeth and Blood,300000,0,2015,237,1h 36m,Not Rated,4.5,71,Action
The Circus: Down the Road,250000,0,2019,255.7,,,,,
"Sanctuary, Quite a Conundrum",200000,0,2014,236.7,1h 22m,Not Rated,5.4,184,Comedy
Arrowhead,180000,0,2017,245.1,1h 35m,PG-13,4.4,2.2K,Action
A Charlie Brown Christmas,150000,0,2009,214.5,,G,8.3,39K,Animation
"Dude, Where's My Dog",100000,0,,,1h 23m,PG-13,5.5,141K,Comedy
The Night Visitor,100000,0,2015,237,1h 46m,PG,6.7,1.8K,Crime
The Brain That Wouldn't Die,60000,0,1962,30.3,1h 22m,PG,4.5,7.1K,Horror
The Image Revolution,50000,0,,,1h 21m,Not Rated,7.1,324,Documentary
Terrifier,35000,0,2018,251.1,1h 25m,Not Rated,5.6,35K,Horror
Flywheel,20000,0,,,2h,Not Rated,6.6,4.5K,Drama
Stories of Our Lives,15000,0,,,,PG-13,5.2,7K,Drama
