Title,Production_Budget,Worldwide_Gross,Release_Year,CPI,Duration,MPAA_Rating,IMDb_Rating,Voter_Numbers,Genre
Country Strong,15000000,20601987,2010,218.1,1h 57m,PG-13,6.3,18K,Drama
Barry Lyndon,11000000,20169934,1905,,3h 5m,PG,8.1,169K,Adventure
Down to You,9000000,20035310,2000,172.2,1h 31m,PG-13,5,15K,Comedy
Un Prophète,13000000,19910624,2010,218.1,2h 35m,R,7.8,99K,Crime
Neuilly Sa Mère,8200000,19637575,,,,,,,Comedy
Get Carter,40000000,19417182,2000,172.2,1h 52m,R,7.3,34K,Action
Rock Star,38000000,19317765,2001,177.1,1h 45m,R,6.3,44K,Drama
Foxcatcher,24000000,19303058,2014,236.7,2h 14m,R,7,144K,Biography
Michael Jordan to the MAX,7000000,19276267,2000,172.2,46m,Not Rated,7.4,2.3K,Documentary
The Visitor,4000000,19174817,2008,215.3,,,,,Drama
Friday the 13th Part VII: The New Blood,2800000,19170001,1988,118.3,1h 28m,R,5.2,38K,Horror
The World's Fastest Indian,25000000,18991288,2005,195.3,2h 7m,PG-13,7.8,56K,Biography
Under the Rainbow,20000000,18826490,1981,90.9,1h 38m,PG,5.3,2.8K,Comedy
The Quick and the Dead,32000000,18552460,1995,152.4,1h 48m,R,6.5,96K,Action
[Rec] 2,5600000,18527766,2010,218.1,,,,,Short
The Curse of the Jade Scorpion,26000000,18496522,2001,177.1,1h 43m,PG-13,6.7,41K,Comedy
Ladyhawke,20000000,18400000,1985,107.6,2h 1m,PG-13,6.9,48K,Adventure
Sleeper,2000000,18344729,1973,44.4,1h 29m,PG,7.1,43K,Comedy
Sorry to Bother You,3200000,18285560,2018,251.1,1h 52m,R,6.9,81K,Comedy
Friends with Money,6500000,18110152,2006,201.6,1h 28m,R,5.8,31K,Comedy
The Lobster,4500000,18019834,2015,237,1h 59m,R,7.1,258K,Drama
Swing Vote,21000000,17589867,2008,215.3,2h,PG-13,6.1,19K,Comedy
Rebound,45000000,17492014,2005,195.3,1h 35m,R,6.3,49K,Comedy
Beneath the Planet of the Apes,3000000,17489009,1970,38.8,1h 35m,G,6,48K,Action
Roll Bounce,10000000,17433072,2005,195.3,1h 52m,PG-13,6.2,7.5K,Comedy
Kingdom of the Spiders,500000,17000000,1905,,1h 37m,PG,5.7,5.5K,Horror
Godsend,30000000,16873925,2004,188.9,1h 42m,PG-13,4.8,26K,Action
My Soul to Take,25000000,16727470,2010,218.1,1h 47m,R,4.7,21K,Horror
Elle,9100000,16517708,2016,240,,,,,
Forever My Girl,3500000,16376066,2018,251.1,1h 48m,PG,6.6,18K,Comedy
Unforgettable,12000000,16221211,2016,240,,PG-13,6.8,20K,Crime
O (Othello),5000000,16017403,2001,177.1,1h 35m,R,6.1,21K,Drama
The Ice Storm,18000000,16011975,1997,160.5,1h 52m,R,7.4,57K,Drama
The Conspirator,25000000,15907411,2011,224.9,2h 2m,PG-13,6.9,29K,Crime
The Last Station,18000000,15696146,2010,218.1,1h 52m,R,6.9,19K,Biography
Les gamins,9000000,15660664,2013,233,,,,,Comedy
Shanghai,50000000,15505922,2012,229.6,1h 54m,PG-13,6.2,108K,Action
The Jacket,28500000,15452978,2005,195.3,1h 43m,R,7.1,115K,Drama
Reminiscence,67972729,15449322,2021,271,1h 56m,PG-13,5.9,57K,Mystery
The Assassination of Jesse James by the Coward …,30000000,15313631,2007,207.3,2h 40m,R,7.5,183K,Biography
The Corruptor,10000000,15164492,1999,166.6,1h 50m,R,6,19K,Action
Chasing Amy,250000,15155095,1997,160.5,1h 53m,R,,139K,Comedy
Io sono l’amore,10000000,15121528,2010,218.1,2h,R,7,23K,Drama
The Egyptian,5000000,15000000,1954,26.9,2h 19m,PG-13,6.5,4.1K,Drama
Obitaemyy ostrov,36500000,15000000,,,1h 55m,PG,5.1,5.6K,Action
Kiss of Death,40000000,14942422,1995,152.4,1h 39m,R,7.4,8.6K,Crime
Inherent Vice,20000000,14744495,2014,236.7,2h 28m,R,6.6,106K,Comedy
Zarafa,9100000,14709816,2012,229.6,1h 18m,PG,6.9,1.8K,Animation
Red Lights,17700000,14518884,2012,229.6,1h 54m,R,6.2,62K,Drama
Woodlawn,13000000,14403891,2015,237,2h 3m,PG,6.4,7.4K,Biography
Trapeze,4000000,14400000,1956,27.2,1h 45m,PG,6.8,4.8K,Drama
Ratchet and Clank,20000000,14365639,2016,240,1h 34m,PG,5.5,11K,Animation
Unsane,1500000,14296709,2018,251.1,1h 38m,R,6.4,47K,Drama
Ballistic: Ecks vs. Sever,70000000,14294842,2002,179.9,1h 31m,R,3.6,20K,Action
The Return of the Living Dead,4000000,14238634,1985,107.6,1h 31m,R,7.3,63K,Comedy
Buffy the Vampire Slayer,7000000,14231669,1992,140.3,,PG-13,8.3,148K,Action
Little Children,14000000,14121177,2006,201.6,2h 17m,R,7.5,113K,Drama
Poltergeist III,9500000,14114000,1988,118.3,1h 38m,PG,4.6,19K,Horror
Waltz with Bashir,2000000,13912289,2008,215.3,1h 30m,R,8,58K,Documentary
The Man Who Knew Too Little,20000000,13801755,1997,160.5,1h 34m,PG,6.6,33K,Comedy
Highlander: The Final Dimension,26000000,13738574,1995,152.4,1h 39m,PG-13,4.4,21K,Action
The Ladies Man,11000000,13719474,2000,172.2,1h 24m,R,5.2,13K,Comedy
The Little Vampire,22000000,13560782,2000,172.2,1h 35m,PG,5.7,11K,Adventure
Tomcats,11000000,13558739,2001,177.1,1h 35m,R,5.3,19K,Comedy
The History Boys,3700000,13447998,2006,201.6,1h 49m,R,6.8,21K,Comedy
The Lords of Dogtown,25000000,13424365,2005,195.3,1h 47m,PG-13,7.1,56K,Biography
Trumbo,15000000,13300181,2015,237,2h 4m,R,7.4,82K,Biography
The Personal History of David Copperfield,15600000,13207442,2020,258.8,1h 59m,PG,6.4,20K,Comedy
I Think I Love My Wife,14000000,13205411,2007,207.3,1h 30m,R,5.5,17K,Comedy
Trener,6250000,13201162,2018,251.1,,,,,Drama
To Kill A Mockingbird,2000000,13129846,1962,30.3,2h 9m,PG,8.3,318K,Crime
Angela's Ashes,25000000,13038660,1999,166.6,2h 25m,R,7.3,22K,Biography
The Crew,23000000,13019253,2000,172.2,,PG-13,6.5,5.8K,Comedy
They Live,4000000,13000774,1988,118.3,1h 34m,R,7.2,132K,Action
Lone Star,5000000,12961389,1996,156.9,,PG-13,7.1,15K,Action
April Fool's Day,5000000,12947763,1986,109.6,1h 29m,R,6.1,17K,Horror
The Other Side of the Door,5000000,12905107,2016,240,1h 36m,R,5.3,18K,Horror
Highlander,16000000,12900000,1986,109.6,1h 56m,R,7.1,137K,Action
The Current War: Director’s Cut,30000000,12869755,2019,255.7,1h 42m,PG-13,6.5,28K,Biography
Mystic Pizza,6000000,12793213,1988,118.3,1h 44m,R,6.3,30K,Comedy
The Many Saints of Newark,50000000,12732039,2021,271,2h,R,6.3,55K,Crime
Street Fighter: The Legend of Chun-Li,50000000,12660287,2009,214.5,1h 36m,PG-13,3.7,24K,Action
Extreme Ops,40000000,12624471,2002,179.9,1h 33m,PG-13,4.4,5.6K,Action
Come Play,9000000,12624174,2020,258.8,1h 36m,PG-13,5.7,14K,Drama
PMC: deo beong-keo,10300000,12478635,2018,251.1,1h 59m,Not Rated,5.4,1.3K,Action
Mambo Italiano,5500000,12399772,2003,184,1h 39m,R,6.7,6.8K,Comedy
The Andromeda Strain,6500000,12376563,1971,40.5,2h 11m,G,7.2,38K,Mystery
Dark Blue,15000000,12262065,2003,184,1h 58m,R,6.6,23K,Crime
Whiteout,35000000,12254746,2009,214.5,1h 41m,R,5.5,39K,Action
Stoker,12000000,12034913,2013,233,1h 39m,R,6.8,110K,Drama
The Great Escape,4000000,11972799,1963,30.6,2h 52m,PG,8.2,246K,Adventure
The Rules of Attraction,4000000,11799060,2002,179.9,1h 50m,R,6.6,52K,Comedy
Seeking a Friend for the End of the World,10000000,11766959,2012,229.6,1h 41m,R,6.7,115K,Adventure
Layer Cake,6500000,11745931,2005,195.3,1h 45m,R,7.3,184K,Action
3 Ninjas Kick Back,20000000,11744960,1994,148.2,1h 33m,PG,4.5,9.4K,Action
What the #$'! Do We Know,4000000,11704768,2004,188.9,,R,8.6,79K,Comedy
Dum Maaro Dum,5200000,11633427,2011,224.9,2h 8m,R,6.2,4.1K,Action
The Cookout,16000000,11540112,2004,188.9,1h 37m,PG-13,3.8,3.1K,Comedy
Tsotsi,3000000,11537539,2006,201.6,1h 34m,R,7.2,29K,Crime
Turbulence,55000000,11532774,1997,160.5,1h 40m,R,4.9,12K,Action
Shut In,10000000,11360665,2016,240,1h 29m,R,5.8,8.8K,Thriller
The Florida Project,2000000,11275645,2017,245.1,1h 51m,R,7.6,116K,Drama
Son of Rambow: A Home Movie,2000000,11263263,2008,215.3,,Not Rated,7.9,1.8K,Short
Overdrive,30000000,11247280,2017,245.1,1h 33m,PG-13,5.3,15K,Action
Before Sunset,2000000,11217346,2004,188.9,1h 20m,R,8.1,266K,Drama
La Tourneuse de Pages,3400000,11182908,2007,207.3,1h 25m,Not Rated,7,7.2K,Drama
Brokedown Palace,25000000,11115766,1999,166.6,1h 40m,PG-13,6.4,23K,Drama
Krush Groove,3000000,11052713,1985,107.6,1h 37m,R,6.4,3.3K,Comedy
Jonah Hex,47000000,11022696,2010,218.1,1h 21m,PG-13,4.7,60K,Action
The Birth of a Nation,110000,11000000,1915,10.1,3h 15m,PG,6.2,25K,Drama
Turning Red,175000000,10964971,2022,294.4,1h 40m,PG,7,121K,Animation
You Can Count on Me,1200000,10827356,2000,172.2,1h 51m,R,7.5,30K,Drama
It’s a Wonderful Life,3180000,10822901,1946,19.5,2h 10m,PG,8.6,458K,Drama
The Savages,9000000,10642023,2007,207.3,1h 53m,R,7.1,38K,Comedy
Drop Dead Gorgeous,10000000,10571408,1999,166.6,1h 37m,PG-13,6.6,38K,Comedy
Three to Tango,20000000,10570375,1999,166.6,1h 38m,PG-13,6,19K,Comedy
Casablanca,1039000,10526173,1943,17.3,1h 42m,PG,8.5,573K,Drama
Steamboy,20000000,10468867,2004,188.9,2h 6m,PG-13,6.8,18K,Animation
Moby Dick,4500000,10412402,1956,27.2,1h 56m,Not Rated,7.3,20K,Adventure
Head Over Heels,14000000,10397365,2001,177.1,1h 32m,PG,6.9,1.3K,Comedy
Town & Country,105000000,10364769,2001,177.1,1h 44m,R,4.5,5K,Comedy
Oddball,7000000,10338919,2015,237,1h 35m,PG,6.4,3K,Adventure
I Got the Hook-Up!,3500000,10317779,1998,163,1h 33m,R,4,2.3K,Comedy
Godzilla 2000,1000000,10037390,2000,172.2,1h 39m,PG,6,8.5K,Action
Hud,2500000,10000000,1963,30.6,1h 52m,PG,7.8,22K,Drama
